Client payeur,CP,Ville,Adresse 1,Agent commercial,niv. commission,Type client,Agent commercial,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE LOU SOULEOU / DR HADJADJ  - 6948,13014,MARSEILLE 14EME ARRONDISS,487 RUE JEAN QUEILLAU,60 - 001,,09 - PHARMACIE,001 - EMS,9522.31,9399.34,9980.669999999973,10293.12999999999,-458.3599999999733,-0.04592477258540504,-893.78999999999,-0.08683364535374476,0.5032494523469148,0.4967505476530852,0.49229399520563444,0.5077060047943656
PHARMACIE DES CALANQUES / DR GILLY  - 6957,13820,ENSUES LA REDONNE,1 AV DE LA VIERGE,52 - 001,,09 - PHARMACIE,001 - EMS,8380.62,4235.1,16511.589999999964,9336.669999999991,-8130.969999999963,-0.4924401587006449,-5101.569999999991,-0.5464014471969123,0.6642997783717457,0.33570022162825425,0.6387892260446155,0.36121077395538453
PHARMACIE HERMES PARK / DR KAREN MESSIKA  - 8433,13008,MARSEILLE 8EME ARRONDISSE,64 AV D'HAIFA,11 - 001,,09 - PHARMACIE,001 - EMS,7844.8,6737.29,9277.499999999985,5905.189999999995,-1432.6999999999853,-0.15442737806521017,832.1000000000049,0.14090994531928788,0.5379750090693447,0.46202499093065535,0.6110577242899643,0.38894227571003576
PHARMACIE DE LA CONCEPTION BEGCAM  - 3801,13005,MARSEILLE 5EME ARRONDISSE,104 rue St Pierre,32 - 001,,09 - PHARMACIE,001 - EMS,9014.300000000001,5688.9,7746.559999999993,5522.61,1267.740000000008,0.16365199520819682,166.28999999999996,0.030110762845828327,0.6130842265629252,0.3869157734370749,0.5838013982788672,0.4161986017211327
PHARMACIE BEAUVALLON / DR SEGARD  - 9481,13009,MARSEILLE 9EME ARRONDISSE,228 CHEMIN DE MORGIOU,65 - 001,,09 - PHARMACIE,001 - EMS,6902.04,6974.31,8055.109999999994,6682.659999999998,-1153.0699999999943,-0.1431476416833532,291.65000000000236,0.04364280092059187,0.49739592904474156,0.5026040709552584,0.5465623360929094,0.4534376639070905
PHARMACIE LAVERAN / DR ZAKARIAN  - 6945,13013,MARSEILLE 13EME ARRONDISS,72 CHEMIN DU MERLAN A LA ROSE,49 - 001,,09 - PHARMACIE,001 - EMS,7343.6,5076.04,11463.609999999955,7054.859999999998,-4120.009999999955,-0.35939900258295343,-1978.819999999998,-0.2804903286528717,0.5912892805266498,0.4087107194733503,0.6190365618757913,0.38096343812420874
PHARMACIE CLEMENCEAU  - 4049,13004,MARSEILLE 4EME ARRONDISSE,14 av du maréchal Foch,5 - 001,,09 - PHARMACIE,001 - EMS,6991.44,2656.51,5940.849999999995,5355.699999999996,1050.5900000000047,0.1768416977368568,-2699.189999999996,-0.5039845398360622,0.7246554967635611,0.27534450323643883,0.5258995002899114,0.4741004997100885
PHARMACIE DE STE MARTHE / DR PONS  - 6947,13014,MARSEILLE 14EME ARRONDISS,3 BOULEVARD BASILE BARRELIER,44 - 001,,09 - PHARMACIE,001 - EMS,6794.51,3981.05,6727.329999999995,13982.279999999982,67.18000000000484,0.00998613119915403,-10001.229999999981,-0.715278910163435,0.6305482035272412,0.3694517964727587,0.32484097962250386,0.6751590203774961
PHARMACIE BEAUREGARD / DR DURAND  - 6911,13004,MARSEILLE 4EME ARRONDISSE,10 ROND POINT CLAUDIE D'ARCY,54 - 001,,09 - PHARMACIE,001 - EMS,5871.39,8286.82,3904.780000000004,8654.819999999992,1966.6099999999965,0.5036416904409453,-367.9999999999927,-0.042519659565420545,0.4146986094993647,0.5853013905006353,0.3109000286633336,0.6890999713366663
PHARMACIE DE L'ESTAQUE PLAGE / DR BRIAND  - 8524,13016,MARSEILLE 16EME ARRONDISS,38 plage de l'estaque,34 - 001,,09 - PHARMACIE,001 - EMS,6256.32,5345.09,1090.08,869.7,5166.24,4.739321884632321,4475.39,5.145900885362769,0.5392723815467257,0.46072761845327426,0.5562256988029268,0.4437743011970732
PHARMACIE DE L'ARC / DR ISRAEL  - 4358,13003,MARSEILLE 3EME ARRONDISSE,30 Av. Camille Pelletan,6 - 001,,09 - PHARMACIE,001 - EMS,6414.67,7500.44,6610.339999999998,5721.820000000001,-195.66999999999825,-0.02960059543079453,1778.619999999999,0.31084864606016943,0.4609859354327777,0.5390140645672222,0.5360245082775441,0.46397549172245584
