Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
1102,475.0,THERMOMETRE ELECTRONIQUE EMBOUT SOUPLE,24,0,60,0,38.4,0,21.6,0,-24,-1,-60,-1,,,,,,,,,,,
602,1726.0,HEXA PANTS T3 MAXI L NUIT *14 CT8,8,51,103.7,731.17,85.92,546.06,17.78,185.11,43,5.375,627.47,6.050819672,,,,,,,,,,,
603,1718.0,HEXA LADY PROTECTION MAXI *30 CT6,12,30,83.42,232.3,68.76,174.96,14.66,57.34,18,1.5,148.88,1.784703908,,,,,,,,,,,
604,1714.0,HEXA BED ALESE MAXI 60X90 *30  CT4,20,35,200.99,364.72,154.8,272.66,46.19,92.06,15,0.75,163.73,0.8146176427,,,,,,,,,,,
604,2097.0,ALESE ID EXPERT PROTECT SUPER 60X90 *30  CT9,3,8,28.45,87.2,23.7,63.2,4.75,24,5,1.666666667,58.75,2.065026362,,,,,,,,,,,
1601,1739.0,INHALATEUR BLANC PLASTIQUE,0,5,0,26.9,0,18.3,0,8.6,5,,26.9,,,,,,,,,,,,
205,36.0,FAUTEUIL TRANSFERT STAN T43,35,69,6598.83,13261.58,4196.5,7499.8,2402.33,5761.78,34,0.9714285714,6662.75,1.009686566,,,,,,,,,,,
207,1451.0,CANNE DERBY PLIANTE CACHEM FANTAISIE N°1,10,19,121.8,238.98,89,169.1,32.8,69.88,9,0.9,117.18,0.9620689655,,,,,,,,,,,
303,509.0,TAPIS DE BAIN 40*90 CM,8,14,89.2,158.49,52.3,94.32,36.9,64.17,6,0.75,69.29,0.776793722,,,,,,,,,,,
704,605.0,GANT VINYLE SS POUDRE T XL 9/10  BTE/100 C/10,32,117,94.54,309.45,49.6,178.194,44.94,131.256,85,2.65625,214.91,2.273217686,,,,,,,,,,,
901,937.0,KIT TETERELLE DOUBLE 21 SMALL,12,33,266,710.5,201,552.75,65,157.75,21,1.75,444.5,1.671052632,,,,,,,,,,,
901,913.0,KIT TETERELLE DOUBLE 30 LARGE,14,18,298.9,402.85,234.5,301.5,64.4,101.35,4,0.2857142857,103.95,0.3477751756,,,,,,,,,,,
1102,1170.0,BATONNET SOIN PLASTIQUE SANS SOLUTION S/50,3,10,7.2,29,4.05,13.43,3.15,15.57,7,2.333333333,21.8,3.027777778,,,,,,,,,,,
1102,761.0,OXYMETRE DE POULS,218,320,2519.08,3838,1652.58,2563.2,866.5,1274.8,102,0.4678899083,1318.92,0.5235720977,,,,,,,,,,,
501,275.0,"AIGUILLE ACIER INOXYDABLE STERILE ORANGE 25G 0,50X16MM BTE/100",17,32,33.83,63.68,18.85,35.26,14.98,28.42,15,0.8823529412,29.85,0.8823529412,,,,,,,,,,,
501,1381.0,AIGUILLE TERUMO 20MMX0.4/27GX100 GRIS,1,1,2.9,2.92,1.89,1.89,1.01,1.03,0,0,0.02,0.006896551724,,,,,,,,,,,
703,2104.0,BLOUSE VISITEUR BLEU TISSE S/10 C/10,45,136,313.5,948,151.2,437.91,162.3,510.09,91,2.022222222,634.5,2.023923445,,,,,,,,,,,
703,1281.0,BLOUSE VISITEUR VERTE TISSE S/10 C/10,201,10,1430.7,69,714.46,35.4,716.24,33.6,-191,-0.9502487562,-1361.7,-0.9517718599,,,,,,,,,,,
